id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
176812,3,15.67,15.88,28.7,96,2.333,1.333
196569,14,41.71,4.66,28.9,257,1.786,1.143
71335,23,34.03,-17.68,23.4,1078,2.304,1.348
61542,13,16.43,-23.52,16.2,234,2.462,1.615
72874,16,37.21,-16.78,25.1,1287,2.125,1.312
99679,20,18.59,-1.51,25.6,1897,1.5,0.947
179939,3,28.85,14.09,26.7,225,1.667,0.667
60831,27,27.93,-23.97,18.2,607,2.37,1.519
75176,20,32.48,-15.43,25.3,696,2.2,1.15
192579,9,41.69,6.9,26.4,400,1.778,1.333
96471,19,17.51,-3.31,25.7,1606,1.421,0.778
183009,11,4.34,12.29,28.3,834,2,1.091
190891,20,-2.28,7.8,26.4,1191,1.8,1.1
183081,13,37.43,12.29,21.2,1059,2,1.077
189409,6,45.83,8.7,24.7,182,2,1.333
89283,16,16.09,-7.35,23.1,1295,1.688,0.875
199740,27,28.21,2.86,24.3,1972,1.444,0.815
78270,24,27.06,-13.64,20.4,1047,2.167,1.375
188530,15,6.52,9.15,27.5,1222,2,1.067
191748,16,25.6,7.35,24.8,1357,2.062,1.25
66033,21,33.37,-20.82,23,836,2.143,1.19
86154,26,37.46,-9.15,24.2,1146,2.154,1.269
78282,20,32.61,-13.64,22,1010,2.25,1.35
202967,27,37.42,1.06,23.5,495,2.222,1.37
202170,12,39.71,1.51,27.9,297,2,1.417
190949,20,24.01,7.8,24.2,1240,2.15,1.3
84524,13,15.69,-10.04,21.1,1104,1.846,1.077
186128,14,-7.32,10.49,26.5,1221,2.214,1.286
67534,20,31.65,-19.93,19.3,796,2.25,1.35
78298,16,40,-13.64,24.6,959,2.125,1.312
189368,13,27.2,8.7,27.1,902,2.231,1.231
189305,19,-1.42,8.7,28,1118,2.105,1.368
80620,21,29.62,-12.29,20.5,1222,2.143,1.333
181487,5,23.91,13.19,22.4,672,1.6,0.8
173789,7,38.74,17.68,30,205,2.143,1.429
74412,17,36.22,-15.88,23,1796,2.176,1.353
175237,3,-0.78,16.78,29.3,170,1.667,0.667
99685,19,21.29,-1.51,24.6,2027,1.526,0.947
102125,25,36.49,-0.16,13.5,987,2.12,1.24
71331,16,32.14,-17.68,18.9,757,2.062,1.188
94890,18,26.27,-4.21,25.7,1414,1.611,0.889
67522,20,25.92,-19.93,21.7,407,2.3,1.35
83748,15,21.9,-10.49,22.7,1355,1.667,0.933
200501,28,10.16,2.41,24.6,2395,1.429,0.778
100482,19,19.01,-1.06,25.2,1993,1.526,1
99713,18,33.87,-1.51,23.1,903,1.889,1.056
67507,14,18.75,-19.93,21,437,2.357,1.5
179126,4,12.1,14.54,27.4,138,1.5,0.5
60822,10,23.5,-23.97,20.1,365,2.6,1.7
193376,9,41.94,6.45,27.7,340,1.778,1.333
182204,11,-5.92,12.74,27.4,836,2.091,1.273
98857,27,9.65,-1.96,25.5,1976,1.481,0.923
189314,20,2.66,8.7,26.6,1122,2,1.2
198909,28,14.81,3.31,23.9,1585,1.464,0.852
179854,12,-10.5,14.09,27.4,803,2.083,1.333
94106,21,33.15,-4.66,23,818,2.143,1.286
66008,10,21.35,-20.82,21.9,413,2.6,1.7
61577,18,33.58,-23.52,24.7,560,2.111,1.278
199763,14,38.56,2.86,25.8,493,2,1.357
198954,16,35.05,3.31,27.5,278,2.125,1.312
59348,11,17.04,-24.87,17.3,182,2.455,1.545
200560,21,36.68,2.41,26.8,250,2.238,1.381
186183,17,17.79,10.49,28.3,884,2.294,1.294
191793,8,45.98,7.35,26.1,210,2.125,1.75
93292,13,26.53,-5.1,25.1,1301,1.769,1.077
180703,4,21.98,13.64,25.7,474,1.5,0.5
190144,22,19.24,8.25,26.2,1125,2.091,1.273
81390,16,22.84,-11.84,20.6,1307,1.75,1
199775,8,43.96,2.86,28.2,557,1.75,1
75164,27,26.89,-15.43,21.4,886,2.296,1.519
69771,15,15.23,-18.58,22.4,381,2.333,1.4
64542,16,35.16,-21.72,23.6,811,2,1.188
182263,6,21.24,12.74,27.9,557,1.5,0.667
60810,13,17.6,-23.97,19.8,216,2.462,1.615
86937,22,33.1,-8.7,23.1,1325,2.045,1.227
192506,14,8.66,6.9,27,1677,1.714,1
72828,12,15.63,-16.78,22.9,623,2.333,1.167
72087,21,27.86,-17.23,24,747,2.333,1.286
190199,8,44.2,8.25,23.9,350,2.125,1.5
78249,11,17.35,-13.64,20.2,1102,2.091,1.273
79041,19,22.98,-13.19,21.7,1084,2.158,1.421
76695,14,18.13,-14.54,20.3,978,2.286,1.286
94059,16,11.97,-4.66,24.6,1281,1.5,1.2
79841,29,31.37,-12.74,20.3,983,2.276,1.345
188616,5,45.65,9.15,22.8,234,2,1.2
202165,26,37.46,1.51,23.4,495,2.192,1.346
75170,25,29.68,-15.43,22.8,774,2.28,1.24
72094,17,31.15,-17.23,18,839,2.118,1.235
176857,3,36.68,15.88,28.3,233,2.333,2
86947,25,37.65,-8.7,24.3,1234,2.12,1.24
186209,7,29.67,10.49,27.9,736,1.857,0.857
100502,23,27.99,-1.06,22.7,1634,1.565,1
63046,25,30.21,-22.62,22.2,574,2.32,1.48
195726,24,22.02,5.1,24.4,1545,1.875,1.167
201326,17,20.89,1.96,25.5,1850,1.588,1.059
193290,10,3.07,6.45,27.1,1492,1.4,1
176752,4,-12.34,15.88,29.3,306,1.5,0.5
80589,13,15.37,-12.29,19.8,1270,2,1.231
63035,12,24.86,-22.62,20.5,376,2.5,1.75
184588,12,8.31,11.39,25.5,939,2.083,1.167
202947,29,28.44,1.06,24.4,1710,1.448,0.828
194167,11,39.04,6,21,839,1.909,1.091
201356,20,34.37,1.96,23.1,994,2.15,1.3
190112,17,4.72,8.25,26,1238,1.882,1.059
85318,11,17.24,-9.6,20.8,1352,1.636,0.909
190137,16,16.06,8.25,26.6,1173,2.062,1.125
198935,27,26.5,3.31,24.3,1833,1.481,0.815
76707,22,23.7,-14.54,22.5,968,2.182,1.318
184591,12,9.69,11.39,26.4,828,2.083,1.167
90106,20,28.57,-6.9,23.4,1018,1.85,1
69805,21,31.34,-18.58,18.3,786,2.238,1.286
187753,14,13.14,9.6,27.5,960,2.214,1.286
186122,19,-10.06,10.49,26,1494,2,1.158
101272,24,13.59,-0.61,24.8,1684,1.458,0.87
79063,24,33.13,-13.19,21.3,824,2.292,1.375
90079,16,16.35,-6.9,23.7,1332,1.688,0.875
72846,22,24.08,-16.78,21.6,743,2.273,1.318
198141,29,29.3,3.76,24.7,1564,1.862,1.103
194179,11,44.46,6,27.6,332,2.091,1.636
166965,3,25,21.72,23.7,3,3,2
194130,24,22.33,6,24.6,1547,2.042,1.167
166966,3,25.49,21.72,23.5,3,3,2
76701,14,20.92,-14.54,20.1,973,2.143,1.143
177550,6,-0.13,15.43,29.2,268,1.667,0.667
202172,12,40.61,1.51,28.3,339,1.917,1.25
