specimenID,Place,Member,Order,Family,Subfamily,Tribe,Genus,Species,HYP,LOP,MidMemberAge,TurkanaTimeBin,EastWest,ComLoc,unique_species_used,meanHYP,meanLOP,MAPreg,MATreg,MAPknn,MATknn
KNM-ER-44537,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44538,8,Okote,Artiodactyla,Giraffidae,NA,NA,NA,NA,1,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44539,8,Okote,Perissodactyla,Equidae,NA,NA,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44540,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,NA,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44541,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,NA,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44543,8,Okote,Artiodactyla,Bovidae,NA,NA,NA,NA,NA,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44544,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44545,8,Okote,Artiodactyla,Bovidae,NA,NA,NA,NA,NA,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44546,8,Okote,Artiodactyla,Suidae,NA,NA,NA,NA,NA,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44548,8,Okote,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44550,8,Okote,Artiodactyla,Bovidae,NA,Reduncini,Menelikia,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44553,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-44554,8,Okote,Artiodactyla,Bovidae,NA,Bovini,Pelorovis,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-4780,8,Upper Burgi,Artiodactyla,Bovidae,NA,Reduncini,NA,NA,3,2,1.91,2,E,Upper Burgi,0,2.19,1.15,741,24,795,23.5
KNM-ER-524,8,KBS,Artiodactyla,Bovidae,NA,Bovini,Pelorovis,turkanensis,3,2,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-525,8,KBS,Artiodactyla,Bovidae,NA,Bovini,Pelorovis,oldowayensis,3,2,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5308,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-5323,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-5331,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-5505,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,aethiopicus,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5513,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hippopotamus,gorgops,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5514,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hippopotamus,gorgops,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5515,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,karumensis,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5517,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,karumensis,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5527,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hippopotamus,gorgops,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5564,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-5570,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,karumensis,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5575,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,karumensis,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-5576,8,KBS,Artiodactyla,Hippopotamidae,NA,NA,Hexaprotodon,aethiopicus,1,0,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-594,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-595,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-598,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-6027,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,Colobus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-604,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-60470,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-606,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-60679,8,Okote,Primates,Cercopithecidae,Colobinae,Colobini,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-60693,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61097,8,KBS,Carnivora,Felidae,NA,NA,NA,NA,NA,NA,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-61215,8,Okote,Perissodactyla,Equidae,NA,Equini,Equus,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61259,8,Okote,Perissodactyla,Equidae,NA,NA,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61273,8,Okote,Perissodactyla,Equidae,NA,Equini,Equus,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-6131,8,Upper Burgi,Artiodactyla,Bovidae,NA,Antilopini,Gazella,praethomsoni,3,2,1.91,2,E,Upper Burgi,1,2.19,1.15,741,24,795,23.5
KNM-ER-61344,8,Okote,Rodentia,Hystricidae,NA,NA,Hystrix,NA,NA,NA,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61504,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,heseloni,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61542,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,heseloni,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61595,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,heseloni,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-617,8,Okote,Primates,Cercopithecidae,NA,NA,NA,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61725,8,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,heseloni,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61840,8,Okote,Artiodactyla,Bovidae,NA,Alcelaphini,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61948,8,Okote,Artiodactyla,Bovidae,NA,cf Tragelaphini,NA,NA,2,2,1.46,1.6,E,Okote,1,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61962,8,Okote,Artiodactyla,Bovidae,NA,Tragelaphini,NA,NA,2,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-61980,8,Okote,Artiodactyla,Bovidae,NA,Alcelaphini,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-621,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-62145,8,Okote,Artiodactyla,Bovidae,NA,Reduncini,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-62146,8,Okote,Artiodactyla,Bovidae,NA,Reduncini,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-622,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-62245a,8,Okote,Artiodactyla,Bovidae,NA,Tragelaphini,NA,NA,2,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-62245,8,Okote,Artiodactyla,Bovidae,NA,Bovini,NA,NA,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-623,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-62397,8,Okote,Artiodactyla,Bovidae,NA,Reduncini,Kobus,kob,3,2,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-624,8,Okote,Primates,Cercopithecidae,NA,NA,Rhinocolobus/Cercopithecoides,NA,1,0,1.46,1.6,E,Okote,1,2.31,1.26,609,23.7,1049,27.2
KNM-ER-627,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,oswaldi,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
