specimenID,Place,Member,Order,Family,Subfamily,Tribe,Genus,Species,HYP,LOP,MidMemberAge,TurkanaTimeBin,EastWest,ComLoc,unique_species_used,meanHYP,meanLOP,MAPreg,MATreg,MAPknn,MATknn
KNM-ER-964,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-965,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-968,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-979,8,Okote,Carnivora,Viverridae,NA,NA,Genetta,genetta/maculata,NA,NA,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-980,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Theropithecini,Theropithecus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-991,8,Upper Burgi,Primates,Cercopithecidae,Colobinae,Colobini,Cercopithecoides,kimeui,1,0,1.91,2,E,Upper Burgi,1,2.19,1.15,741,24,795,23.5
KNM-ER-996,8,Okote,Primates,Cercopithecidae,Cercopithecinae,Papionini,Cercocebus,NA,1,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-NA,9,Okote,Artiodactyla,Suidae,Suinae,NA,Kolpochoerus,heseloni,2,0,1.46,1.6,E,Okote,0,2.31,1.26,609,23.7,1049,27.2
KNM-ER-2437,9,KBS,Artiodactyla,Bovidae,NA,Tragelaphini,Tragelaphus,strepsiceros,2,2,1.7,1.6,E,KBS,0,2.32,1.16,561,23.9,694,25.2
KNM-ER-2454,9,KBS,Artiodactyla,Bovidae,NA,Reduncini,Kobus,sigmoidalis,3,2,1.7,1.6,E,KBS,1,2.32,1.16,561,23.9,694,25.2
